Gene	Co-expression	Co-translation	Interactome
Zm00001d042373	0	0	1
Zm00001d047910	0	0	1
Zm00001d029393	0	0	1
Zm00001d048824	0	0	1
Zm00001d035094	0	1	1
Zm00001d024511	0	1	1
Zm00001d036371	0	1	1
Zm00001d044246	1	1	1
Zm00001d009652	0	1	1
Zm00001d038923	0	1	1
Zm00001d009480	0	0	1
Zm00001d033931	0	0	1
Zm00001d033933	0	0	1
Zm00001d032600	0	0	1
Zm00001d032597	0	0	1
Zm00001d043049	0	0	1
Zm00001d010617	0	0	1
Zm00001d053151	0	0	1
Zm00001d001899	0	0	1
Zm00001d045028	0	0	1
Zm00001d033649	0	0	1
Zm00001d048693	0	0	1
Zm00001d034337	0	0	1
Zm00001d051682	0	0	1
Zm00001d002148	0	0	1
Zm00001d033187	0	0	1
Zm00001d013319	0	0	1
Zm00001d005966	0	0	1
Zm00001d006361	1	0	1
Zm00001d004689	0	0	1
Zm00001d006238	0	0	1
Zm00001d023735	0	0	1
Zm00001d005108	0	0	1
Zm00001d052461	0	0	1
Zm00001d033983	0	0	1
Zm00001d042725	0	0	1
Zm00001d040901	0	0	1
Zm00001d037734	0	0	1
Zm00001d009424	0	0	1
Zm00001d012260	0	0	1
Zm00001d013415	0	0	1
Zm00001d044441	0	0	1
Zm00001d049556	0	0	1
Zm00001d001798	0	0	1
Zm00001d016935	1	1	1
Zm00001d026532	1	1	1
Zm00001d042730	0	1	1
Zm00001d003648	0	1	1
Zm00001d006125	0	1	1
Zm00001d008387	0	1	1
Zm00001d046930	1	1	1
Zm00001d017391	0	0	1
Zm00001d050357	1	0	1
Zm00001d039365	0	0	1
Zm00001d049668	0	0	1
Zm00001d012339	0	0	1
Zm00001d020585	0	0	1
Zm00001d021018	0	0	1
Zm00001d002781	0	0	1
Zm00001d005315	0	0	1
Zm00001d007058	0	0	1
Zm00001d039106	0	0	1
Zm00001d018863	0	0	1
Zm00001d043834	0	0	1
Zm00001d043497	0	0	1
Zm00001d004868	0	0	1
Zm00001d033596	0	0	1
Zm00001d047296	0	0	1
Zm00001d044277	0	0	1
Zm00001d048346	0	0	1
Zm00001d015138	0	0	1
Zm00001d033174	0	0	1
Zm00001d010461	0	0	1
Zm00001d032710	0	0	1
Zm00001d016572	0	0	1
Zm00001d042216	0	0	1
Zm00001d048158	0	0	1
Zm00001d032099	0	0	1
Zm00001d000120	0	0	1
Zm00001d048892	0	0	1
Zm00001d048997	0	0	1
Zm00001d027309	0	0	1
Zm00001d013669	0	0	1
Zm00001d009657	0	0	1
Zm00001d022174	0	0	1
Zm00001d024239	0	0	1
Zm00001d052439	0	0	1
Zm00001d040312	0	0	1
Zm00001d018479	0	0	1
Zm00001d052111	0	0	1
Zm00001d002956	0	0	1
Zm00001d021128	0	0	1
Zm00001d018009	1	1	1
Zm00001d048718	1	1	1
Zm00001d040475	1	1	1
Zm00001d034630	1	0	1
Zm00001d048505	1	0	1
Zm00001d003127	1	0	1
Zm00001d051591	0	0	1
Zm00001d047962	1	0	1
Zm00001d004700	0	0	1
Zm00001d048526	0	0	1
Zm00001d023530	1	0	1
Zm00001d038776	0	0	1
Zm00001d019262	0	0	1
Zm00001d023659	0	0	1
Zm00001d017846	0	0	1
Zm00001d039483	0	0	1
Zm00001d015780	0	0	1
Zm00001d024245	0	0	1
Zm00001d034108	0	0	1
Zm00001d034163	0	0	1
Zm00001d006899	0	0	1
Zm00001d035455	0	0	1
Zm00001d014199	0	0	1
Zm00001d031223	0	0	1
Zm00001d034602	0	0	1
Zm00001d017958	0	0	1
Zm00001d006287	0	0	1
Zm00001d017121	0	0	1
Zm00001d051116	0	0	1
Zm00001d012103	0	0	1
Zm00001d039865	0	0	1
Zm00001d004857	0	0	1
Zm00001d008569	0	0	1
Zm00001d019283	0	0	1
Zm00001d032470	0	0	1
Zm00001d016552	0	0	1
Zm00001d047912	0	0	1
Zm00001d022103	0	0	1
Zm00001d044391	0	0	1
Zm00001d034698	0	0	1
Zm00001d018489	0	0	1
Zm00001d024755	0	0	1
Zm00001d016059	0	0	1
Zm00001d031627	0	0	1
Zm00001d045784	0	0	1
Zm00001d037961	0	0	1
Zm00001d010566	0	0	1
Zm00001d027975	1	1	1
Zm00001d031560	1	1	1
Zm00001d019045	0	1	1
Zm00001d021516	0	1	1
Zm00001d049494	0	1	1
Zm00001d017214	0	1	1
Zm00001d013554	0	0	1
Zm00001d053819	0	0	0
Zm00001d043370	0	0	0
Zm00001d050793	0	0	0
Zm00001d046600	0	0	0
Zm00001d008357	0	0	0
Zm00001d026680	0	0	0
Zm00001d012277	0	0	0
Zm00001d033563	1	0	0
Zm00001d003200	0	0	0
Zm00001d040697	0	0	0
Zm00001d047117	0	0	0
Zm00001d024319	0	0	0
Zm00001d012838	0	0	0
Zm00001d000030	0	0	0
Zm00001d006613	1	0	0
Zm00001d045076	0	0	0
Zm00001d016458	0	0	0
Zm00001d029394	0	0	0
Zm00001d037877	0	0	0
Zm00001d010614	0	0	0
Zm00001d018403	0	0	0
Zm00001d005459	0	0	0
Zm00001d019577	0	0	0
Zm00001d010914	0	0	0
Zm00001d011816	1	0	0
Zm00001d021147	0	0	0
Zm00001d011355	0	0	0
Zm00001d052885	0	0	0
Zm00001d006185	0	0	0
Zm00001d006085	0	0	0
Zm00001d022111	0	0	0
Zm00001d013494	0	0	0
Zm00001d049134	0	0	0
Zm00001d043272	0	0	0
Zm00001d006457	0	0	0
Zm00001d001979	0	0	0
Zm00001d009847	0	0	0
Zm00001d022505	0	0	0
Zm00001d030508	1	0	0
Zm00001d030110	0	0	0
Zm00001d010927	0	0	0
Zm00001d009983	0	0	0
Zm00001d028570	0	0	0
Zm00001d005532	0	0	0
Zm00001d038351	0	0	0
Zm00001d032732	0	0	0
Zm00001d024298	0	0	0
Zm00001d035844	0	0	0
Zm00001d009520	0	0	0
Zm00001d024311	0	0	0
Zm00001d012546	0	0	0
Zm00001d014880	0	0	0
Zm00001d034528	0	0	0
Zm00001d027688	0	1	0
Zm00001d002115	1	1	0
Zm00001d002822	0	1	0
Zm00001d021422	0	0	0
Zm00001d051052	0	0	0
Zm00001d023279	1	0	0
Zm00001d019374	0	0	0
Zm00001d021541	0	0	0
Zm00001d003683	1	0	0
Zm00001d037211	0	0	0
Zm00001d015460	0	0	0
Zm00001d013086	0	0	0
Zm00001d031572	0	0	0
Zm00001d037489	0	0	0
Zm00001d037582	0	0	0
Zm00001d025509	0	0	0
Zm00001d003064	0	0	0
Zm00001d039372	0	0	0
Zm00001d045199	0	0	0
Zm00001d006296	0	0	0
Zm00001d024187	0	0	0
Zm00001d041268	0	0	0
Zm00001d034000	0	0	0
Zm00001d027283	0	0	0
Zm00001d032526	1	0	0
Zm00001d039300	0	0	0
Zm00001d022424	0	0	0
Zm00001d020592	0	0	0
Zm00001d040270	0	0	0
Zm00001d050916	0	0	0
Zm00001d036403	0	0	0
Zm00001d029039	0	0	0
Zm00001d035559	0	0	0
Zm00001d037972	1	0	0
Zm00001d026630	0	0	0
Zm00001d027652	0	0	0
Zm00001d047697	0	0	0
Zm00001d039324	0	0	0
Zm00001d018478	0	0	0
Zm00001d052718	0	0	0
Zm00001d031344	0	0	0
Zm00001d052060	0	0	0
Zm00001d023987	0	0	0
Zm00001d040435	0	0	0
Zm00001d045911	0	0	0
Zm00001d034867	0	0	0
Zm00001d014785	0	0	0
Zm00001d007031	0	0	0
Zm00001d047166	0	0	0
Zm00001d007194	1	0	0
Zm00001d041322	0	0	0
Zm00001d041112	0	0	0
Zm00001d012643	0	0	0
Zm00001d032656	0	0	0
Zm00001d042025	0	0	0
Zm00001d006930	0	0	0
Zm00001d011692	0	0	0
Zm00001d025772	0	0	0
Zm00001d049826	0	0	0
Zm00001d035256	1	1	0
Zm00001d023901	1	1	0
Zm00001d019219	0	1	0
Zm00001d024373	1	1	0
Zm00001d009761	0	1	0
Zm00001d024828	0	1	0
Zm00001d012837	0	1	0
Zm00001d037929	0	1	0
Zm00001d021300	0	0	0
Zm00001d025060	0	0	0
Zm00001d005732	0	0	0
Zm00001d011448	0	0	0
Zm00001d006250	0	0	0
Zm00001d013276	0	0	0
Zm00001d004812	0	0	0
Zm00001d013357	1	0	0
Zm00001d029212	0	0	0
Zm00001d052800	0	0	0
Zm00001d051908	0	0	0
Zm00001d039165	0	0	0
